row ID,row m/z,row retention time,intensity_measure,Blank_202404241731_EB_dbgi_mapp_blk_pre02.mzML Peak area,Blank_202404241731_EB_dbgi_mapp_blk_pre03.mzML Peak area,Blank_202404241731_EB_dbgi_mapp_blk_pre01.mzML Peak area,Blank_202404241731_EB_dbgi_mapp_blk_pre04.mzML Peak area,Erythroxylum_coca_202404241731_EB_dbgi_003208_01_01_Luca.mzML Peak area,Erythroxylum_coca_202404241731_EB_dbgi_003208_02_01_Luca.mzML Peak area,Brugmansia_insignis_202404241731_EB_dbgi_003224_02_01_Luca.mzML Peak area,Brugmansia_insignis_202404241731_EB_dbgi_003224_01_02_Luca.mzML Peak area,Erythroxylum_australe_202404241731_EB_tp24_000007_02_02_Luca.mzML Peak area,Erythroxylum_australe_202404241731_EB_tp24_000007_01_01_Luca.mzML Peak area,Unnamed: 13
747,159.12091573079428,1.5538822,area,0.0,0.0,0.0,0.0,17426303.821601447,21883468.536523107,3405215.8160992484,1601889.8042683124,931439.8481224688,3239531.542716281,
748,556.4214782714844,10.3977645,area,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48748.83360240039,640339.6989299837,
749,358.16495513916016,6.2463788000000005,area,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420338.8827912226,314646.4581531045,
750,717.4150390661621,9.06537758,area,8358.220012734113,9878.806154759966,12445.275629844591,3277.043753062458,448182.5017560383,601084.4344001932,840258.2633474998,541635.4258875208,43132.49067936847,198087.36469401277,
751,721.4529968304199,10.2593898,area,0.0,0.0,0.0,0.0,7603.181965532831,18768.21051505236,5467.467764883548,1806.389876674521,0.0,2621928.824888709,
752,488.3951670371093,8.678564933333332,area,0.0,0.0,0.0,0.0,0.0,0.0,0.0,880.554150309211,2364673.1955267703,51423.39872658477,
753,236.07951736450195,1.5538975499999998,area,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300041.9424448888,1432714.1251497746,
754,465.2607147216797,8.3278388,area,0.0,0.0,0.0,0.0,45022.36663679535,39328.49886699835,607154.5178622324,2600154.455566644,0.0,53116.199093523726,
755,894.5404663244628,9.20344145,area,0.0,0.0,0.0,0.0,0.0,0.0,5004.928860574545,0.0,0.0,780865.1721161364,
756,591.4987538655599,11.709373166666667,area,0.0,0.0,0.0,0.0,4126798.605718088,4097107.468190763,3235941.604340499,4099743.839140184,339144.28154039267,3294270.9669419047,
